ID	Elav_1	Elav_2	Elav_3	Elav_4	Elav_5	Repo_1	Repo_2	Repo_3	Repo_4	Repo_5
CG31748	10.55606329	12.21007367	12.81711804	12.90626815	15.34822591	15.03236399	16.56423878	15.34822591	36.75834736	17.87659421
CG31749	131.5985698	398.9322648	58.48521281	121.9376637	71.50637684	141.0438548	25.28132198	25.28132198	31.77895985	25.10669113
CG31750	8.876555777	5.42641731	6.964404506	5.578974665	5.897076869	8.938297105	6.727171322	7.568461174	17.3877578	7.889861636
CG31751	274.3740064	354.5880238	257.7806208	125.3657981	210.8393004	374.8059382	29.04061297	321.7954239	118.6032719	512
CG31752	7.568461174	8.815240927	8	8	7.464263932	9.253505471	12.90626815	8.6938789	24.42014734	11.63178014
CG31753	54.56863307	46.20573426	69.5510312	66.25695513	94.35322991	38.05462768	48.16789592	75.58353033	97.68058937	79.3412928
CG31755	14.52030649	15.34822591	13.08643294	17.1483754	13.64215827	21.85664411	31.55944654	14.82540899	23.26356028	25.63423608
CG31756	2418.672971	2469.494431	2916.454801	2556.580964	2817.109644	2401.965976	1746.196258	2272.398279	382.6814077	1795.288517
CG31757	2702.352201	1807.775736	2288.204059	1618.004607	2702.352201	1209.336485	1488.867858	1964.572916	377.4129196	1937.52606
CG31758	315.1729698	501.4631924	377.4129196	137.1870032	377.4129196	1562.88943	1089.915067	948.8261754	60.12945595	315.1729698
CG31759	18.63573738	29.24260641	20.82146969	24.7610399	24.5900029	16.79546694	22.78480313	22.94328397	35.75318842	28.4429658
CG3176	147.0333894	207.9366135	117.7840193	102.5369443	143.0127537	79.89315513	328.5570298	245.5716145	48.16789592	56.49299176
CG31760	2916.454801	3640.699622	3236.009213	2469.494431	2778.325663	1722.155858	3875.052121	1722.155858	3769.088617	1045.516417
CG31761	797.8645296	661.6846493	237.2065438	237.2065438	885.2861249	48.16789592	10.62948651	22.00866909	23.10286713	77.17170097
CG31762	1112.816499	885.2861249	916.5056726	704.2774109	916.5056726	831.7464539	729.1137001	891.4437768	179.7689441	280.1391875
CG31763	36.25228433	33.12847756	26.90868529	19.29292524	21.40684088	20.96629446	48.50293013	31.77895985	37.53071838	20.82146969
CG31764	56.49299176	19.29292524	11.08087574	71.50637684	15.88947993	21.11212657	12.81711804	12.38051995	18.25221945	72.00374302
CG31765	36.25228433	36.75834736	33.59093388	46.52712055	39.94657756	59.30163596	59.71411146	50.56264396	142.0248924	54.19169999
CG31766	4.890561111	5.169411323	4.789914818	5.540437872	5.388934307	6.233316637	5.314743256	6.36429187	6.453134074	5.388934307
CG31768	464.6498075	497.9993331	776.0468821	584.0710225	843.3572017	1112.816499	955.4257833	699.4126115	106.8912537	704.2774109
CG31769	12.38051995	14.6213032	12.99603834	18.76535919	16	92.41146851	19.69831061	19.15965927	29.65081798	15.03236399
CG31770	4.823231311	4.59479342	4.856779538	5.464161027	4.75682846	8.938297105	5.205367422	5.856342784	13.547925	5.815890069
CG31771	62.68289905	51.98415337	46.20573426	36.50443891	43.11147446	47.83517596	67.18186775	49.1800058	61.81992505	47.83517596
CG31772	362.038672	319.5726205	335.4607114	439.5855035	302.3341213	282.0877097	302.3341213	439.5855035	15.77972327	229.1264182
CG31773	62.68289905	37.79176517	44.32350298	36.25228433	40.22442798	98.3600116	33.35890435	62.68289905	59.71411146	28.24649588
CG31774	634.7303424	530.055641	879.1710069	541.1932368	321.7954239	837.531708	308.6868039	471.1360771	68.11969168	229.1264182
CG31775	5.169411323	4.924577653	4.691339797	5.42641731	6.062866266	7.160200567	9.000467878	5.205367422	8.75434961	6.588728138
CG31776	17.3877578	16.44982123	15.34822591	21.40684088	23.26356028	17.75311155	23.75237713	28.64080227	53.07645093	24.93326655
CG31777	19.69831061	15.03236399	16.67945217	22.16175149	20.53481436	45.88656794	152.2185107	121.0953788	137.1870032	181.019336
CG31778	4.823231311	4.626752736	4.789914818	4.789914818	5.13370359	6.147500725	7.260153243	6.588728138	8.938297105	5.979396995
CG31779	6.408559021	10.33882265	5.502167273	7.06162397	8.876555777	7.835362381	8.5741877	7.160200567	14.52030649	7.464263932
CG3178	162.016844	152.2185107	195.3611787	186.1084822	49.8665331	129.7868134	20.11221399	30.48441594	30.90996253	143.0127537
CG31780	512	418.765854	448.8221293	544.9575334	451.9439341	1341.842846	134.3637355	519.1472537	128	81.57188015
CG31781	49.1800058	47.83517596	54.94818793	60.12945595	47.17661495	50.91433496	58.08122594	247.2797002	97.00586026	76.6386371
CG31782	194.0117205	124.4998333	288.0149721	104.6914635	210.8393004	57.68002961	25.45716748	25.8125363	24.08394796	166.5717575
CG31783	17.75311155	17.1483754	16.91228865	19.42711815	24.93326655	21.25897303	24.08394796	19.97328878	44.01733818	22.78480313
CG31784	9.646462622	10.85283462	8	9.849155307	11.63178014	12.46663327	17.87659421	12.90626815	28.8400148	11.39240156
CG31785	32.67238802	202.2505758	55.3303828	47.83517596	30.90996253	12.29500145	30.48441594	36.75834736	42.22425314	16.22335168
CG31786	268.727471	393.4400464	235.5680386	190.019017	190.019017	335.4607114	55.3303828	278.2041248	71.50637684	99.7330662
CG31787	7.160200567	6.02098699	6.773962499	8.815240927	7.889861636	7.621103984	11.87618857	9.000467878	14.82540899	10.62948651
CG31788	91.77313587	18.37917368	64.89340671	36.25228433	37.79176517	19.15965927	19.02731384	50.21338227	24.7610399	23.75237713
CG31789	9.18958684	9.646462622	7.568461174	8.876555777	10.85283462	8.168097006	9.18958684	7.568461174	15.03236399	10.056107
CG31790	21.85664411	26.53822547	23.75237713	24.08394796	34.53530357	34.7755156	31.34144952	33.8245773	55.3303828	36.75834736
CG31791	11.95879399	12.81711804	10.85283462	10.33882265	14.92852786	12.81711804	11.3137085	12.29500145	22.31589866	16.44982123
CG31792	8.633825892	8.75434961	8.224910613	10.62948651	12.64066099	9.317868692	15.13692235	12.21007367	23.75237713	13.73704698
CG31793	75.58353033	71.50637684	354.5880238	235.5680386	88.03467636	330.8423246	50.56264396	32.89964245	92.41146851	46.52712055
